production_order_id,factory_id,production_line,product_id,product_name,machine_id,operator_id,shift,planned_quantity,cycle_time_minutes,status
PO000001,F001,PL001,P001,Engine Block,M003,EMP000191,A,374,18,Completed
PO000002,F001,PL002,P002,Crankshaft,M006,EMP000414,A,339,15,Completed
PO000003,F001,PL003,P003,Cylinder Head,M007,EMP000038,C,353,16,Completed
PO000004,F002,PL004,P004,Fuel Pump,M010,EMP000097,C,486,12,Completed
PO000005,F002,PL005,P005,Hydraulic Pump,M015,EMP000015,C,283,14,Completed
PO000006,F002,PL006,P006,Transmission Housing,M017,EMP000398,A,242,20,Completed
PO000007,F001,PL001,P001,Engine Block,M001,EMP000345,A,387,18,Completed
PO000008,F001,PL002,P002,Crankshaft,M006,EMP000206,C,307,15,Completed
PO000009,F001,PL003,P003,Cylinder Head,M007,EMP000312,C,419,16,Completed
PO000010,F002,PL004,P004,Fuel Pump,M012,EMP000135,A,453,12,Completed
PO000011,F002,PL005,P005,Hydraulic Pump,M014,EMP000405,A,307,14,Completed
PO000012,F002,PL006,P006,Transmission Housing,M016,EMP000008,B,284,20,Completed
PO000013,F001,PL001,P001,Engine Block,M002,EMP000062,A,395,18,Completed
PO000014,F001,PL002,P002,Crankshaft,M004,EMP000153,A,347,15,Completed
PO000015,F001,PL003,P003,Cylinder Head,M007,EMP000084,A,384,16,Completed
PO000016,F002,PL004,P004,Fuel Pump,M011,EMP000185,C,444,12,Completed
PO000017,F002,PL005,P005,Hydraulic Pump,M014,EMP000254,C,277,14,Completed
PO000018,F002,PL006,P006,Transmission Housing,M017,EMP000263,A,274,20,Completed
PO000019,F001,PL001,P001,Engine Block,M002,EMP000323,C,370,18,Completed
PO000020,F001,PL002,P002,Crankshaft,M005,EMP000354,C,350,15,Completed
PO000021,F001,PL003,P003,Cylinder Head,M007,EMP000070,A,344,16,Completed
PO000022,F002,PL004,P004,Fuel Pump,M012,EMP000419,B,429,12,Completed
PO000023,F002,PL005,P005,Hydraulic Pump,M013,EMP000028,A,301,14,Completed
PO000024,F002,PL006,P006,Transmission Housing,M017,EMP000181,B,257,20,Completed
PO000025,F001,PL001,P001,Engine Block,M003,EMP000158,A,406,18,Completed
PO000026,F001,PL002,P002,Crankshaft,M005,EMP000252,A,349,15,Completed
PO000027,F001,PL003,P003,Cylinder Head,M009,EMP000117,C,370,16,Completed
PO000028,F002,PL004,P004,Fuel Pump,M012,EMP000014,A,482,12,Completed
PO000029,F002,PL005,P005,Hydraulic Pump,M015,EMP000028,C,293,14,Completed
PO000030,F002,PL006,P006,Transmission Housing,M018,EMP000197,A,255,20,Completed
PO000031,F001,PL001,P001,Engine Block,M002,EMP000358,B,408,18,Completed
PO000032,F001,PL002,P002,Crankshaft,M006,EMP000284,A,375,15,Completed
PO000033,F001,PL003,P003,Cylinder Head,M009,EMP000339,A,377,16,Completed
PO000034,F002,PL004,P004,Fuel Pump,M010,EMP000059,B,404,12,Completed
PO000035,F002,PL005,P005,Hydraulic Pump,M014,EMP000365,A,306,14,Completed
PO000036,F002,PL006,P006,Transmission Housing,M016,EMP000103,C,298,20,Completed
PO000037,F001,PL001,P001,Engine Block,M003,EMP000264,A,400,18,Completed
PO000038,F001,PL002,P002,Crankshaft,M006,EMP000260,B,367,15,Completed
PO000039,F001,PL003,P003,Cylinder Head,M009,EMP000277,A,394,16,Completed
PO000040,F002,PL004,P004,Fuel Pump,M011,EMP000273,A,417,12,Completed
PO000041,F002,PL005,P005,Hydraulic Pump,M015,EMP000121,B,340,14,Completed
PO000042,F002,PL006,P006,Transmission Housing,M018,EMP000320,B,277,20,Completed
PO000043,F001,PL001,P001,Engine Block,M003,EMP000073,B,411,18,Completed
PO000044,F001,PL002,P002,Crankshaft,M004,EMP000196,C,321,15,Completed
PO000045,F001,PL003,P003,Cylinder Head,M008,EMP000022,A,347,16,Completed
PO000046,F002,PL004,P004,Fuel Pump,M010,EMP000400,C,419,12,Completed
PO000047,F002,PL005,P005,Hydraulic Pump,M013,EMP000141,C,326,14,Completed
PO000048,F002,PL006,P006,Transmission Housing,M016,EMP000089,B,264,20,Completed
PO000049,F001,PL001,P001,Engine Block,M003,EMP000142,C,419,18,Completed
PO000050,F001,PL002,P002,Crankshaft,M005,EMP000192,A,374,15,Completed
PO000051,F001,PL003,P003,Cylinder Head,M009,EMP000205,C,350,16,Completed
PO000052,F002,PL004,P004,Fuel Pump,M012,EMP000202,B,496,12,Completed
PO000053,F002,PL005,P005,Hydraulic Pump,M015,EMP000146,A,315,14,Completed
PO000054,F002,PL006,P006,Transmission Housing,M017,EMP000008,A,267,20,Completed
PO000055,F001,PL001,P001,Engine Block,M002,EMP000333,C,360,18,Completed
PO000056,F001,PL002,P002,Crankshaft,M006,EMP000105,C,337,15,Completed
PO000057,F001,PL003,P003,Cylinder Head,M007,EMP000267,A,400,16,Completed
PO000058,F002,PL004,P004,Fuel Pump,M012,EMP000250,C,438,12,Completed
PO000059,F002,PL005,P005,Hydraulic Pump,M015,EMP000254,A,297,14,Completed
PO000060,F002,PL006,P006,Transmission Housing,M017,EMP000398,A,288,20,Completed
PO000061,F001,PL001,P001,Engine Block,M003,EMP000233,A,427,18,Completed
PO000062,F001,PL002,P002,Crankshaft,M006,EMP000045,B,345,15,Completed
PO000063,F001,PL003,P003,Cylinder Head,M007,EMP000286,B,350,16,Completed
PO000064,F002,PL004,P004,Fuel Pump,M011,EMP000080,A,430,12,Completed
PO000065,F002,PL005,P005,Hydraulic Pump,M013,EMP000033,A,282,14,Completed
PO000066,F002,PL006,P006,Transmission Housing,M018,EMP000417,A,271,20,Completed
PO000067,F001,PL001,P001,Engine Block,M003,EMP000358,A,376,18,Completed
PO000068,F001,PL002,P002,Crankshaft,M006,EMP000301,C,364,15,Completed
PO000069,F001,PL003,P003,Cylinder Head,M007,EMP000391,C,369,16,Completed
PO000070,F002,PL004,P004,Fuel Pump,M012,EMP000090,A,454,12,Completed
PO000071,F002,PL005,P005,Hydraulic Pump,M015,EMP000229,C,297,14,Completed
PO000072,F002,PL006,P006,Transmission Housing,M017,EMP000182,C,265,20,Completed
PO000073,F001,PL001,P001,Engine Block,M003,EMP000310,B,407,18,Completed
PO000074,F001,PL002,P002,Crankshaft,M006,EMP000116,A,361,15,Completed
PO000075,F001,PL003,P003,Cylinder Head,M007,EMP000402,A,364,16,Completed
PO000076,F002,PL004,P004,Fuel Pump,M011,EMP000298,C,402,12,Completed
PO000077,F002,PL005,P005,Hydraulic Pump,M015,EMP000378,C,301,14,Completed
PO000078,F002,PL006,P006,Transmission Housing,M016,EMP000266,A,240,20,Completed
PO000079,F001,PL001,P001,Engine Block,M003,EMP000394,A,440,18,Completed
PO000080,F001,PL002,P002,Crankshaft,M004,EMP000152,A,312,15,Completed
PO000081,F001,PL003,P003,Cylinder Head,M008,EMP000312,C,345,16,Completed
PO000082,F002,PL004,P004,Fuel Pump,M010,EMP000159,C,435,12,Completed
PO000083,F002,PL005,P005,Hydraulic Pump,M014,EMP000033,C,299,14,Completed
PO000084,F002,PL006,P006,Transmission Housing,M016,EMP000172,C,286,20,Completed
PO000085,F001,PL001,P001,Engine Block,M003,EMP000082,A,420,18,Completed
PO000086,F001,PL002,P002,Crankshaft,M005,EMP000354,A,356,15,Completed
PO000087,F001,PL003,P003,Cylinder Head,M007,EMP000032,C,348,16,Completed
PO000088,F002,PL004,P004,Fuel Pump,M011,EMP000273,B,445,12,Completed
PO000089,F002,PL005,P005,Hydraulic Pump,M014,EMP000271,C,331,14,Completed
PO000090,F002,PL006,P006,Transmission Housing,M016,EMP000376,C,283,20,Completed
PO000091,F001,PL001,P001,Engine Block,M003,EMP000349,A,372,18,Completed
PO000092,F001,PL002,P002,Crankshaft,M005,EMP000108,A,347,15,Completed
PO000093,F001,PL003,P003,Cylinder Head,M007,EMP000382,A,360,16,Completed
PO000094,F002,PL004,P004,Fuel Pump,M012,EMP000013,A,457,12,Completed
PO000095,F002,PL005,P005,Hydraulic Pump,M014,EMP000254,B,295,14,Completed
PO000096,F002,PL006,P006,Transmission Housing,M017,EMP000114,A,255,20,Completed
PO000097,F001,PL001,P001,Engine Block,M002,EMP000371,A,430,18,Completed
PO000098,F001,PL002,P002,Crankshaft,M004,EMP000130,A,373,15,Completed
PO000099,F001,PL003,P003,Cylinder Head,M007,EMP000170,A,366,16,Completed
PO000100,F002,PL004,P004,Fuel Pump,M011,EMP000242,B,462,12,Completed
PO000101,F002,PL005,P005,Hydraulic Pump,M013,EMP000011,A,323,14,Completed
PO000102,F002,PL006,P006,Transmission Housing,M016,EMP000227,A,264,20,Completed
PO000103,F001,PL001,P001,Engine Block,M002,EMP000276,B,393,18,Completed
PO000104,F001,PL002,P002,Crankshaft,M005,EMP000285,C,358,15,Completed
PO000105,F001,PL003,P003,Cylinder Head,M009,EMP000117,C,407,16,Completed
PO000106,F002,PL004,P004,Fuel Pump,M012,EMP000208,A,462,12,Completed
PO000107,F002,PL005,P005,Hydraulic Pump,M013,EMP000148,A,309,14,Completed
PO000108,F002,PL006,P006,Transmission Housing,M016,EMP000398,C,277,20,Completed
PO000109,F001,PL001,P001,Engine Block,M003,EMP000081,C,367,18,Completed
PO000110,F001,PL002,P002,Crankshaft,M005,EMP000056,A,311,15,Completed
PO000111,F001,PL003,P003,Cylinder Head,M009,EMP000170,C,397,16,Completed
PO000112,F002,PL004,P004,Fuel Pump,M012,EMP000059,A,420,12,Completed
PO000113,F002,PL005,P005,Hydraulic Pump,M015,EMP000220,A,282,14,Completed
PO000114,F002,PL006,P006,Transmission Housing,M016,EMP000315,A,278,20,Completed
PO000115,F001,PL001,P001,Engine Block,M003,EMP000275,B,390,18,Completed
PO000116,F001,PL002,P002,Crankshaft,M004,EMP000414,A,376,15,Completed
PO000117,F001,PL003,P003,Cylinder Head,M009,EMP000382,A,412,16,Completed
PO000118,F002,PL004,P004,Fuel Pump,M012,EMP000406,B,410,12,Completed
PO000119,F002,PL005,P005,Hydraulic Pump,M015,EMP000005,B,338,14,Completed
PO000120,F002,PL006,P006,Transmission Housing,M017,EMP000281,C,253,20,Completed
PO000121,F001,PL001,P001,Engine Block,M003,EMP000162,A,400,18,Completed
PO000122,F001,PL002,P002,Crankshaft,M005,EMP000332,A,354,15,Completed
PO000123,F001,PL003,P003,Cylinder Head,M009,EMP000362,B,418,16,Completed
PO000124,F002,PL004,P004,Fuel Pump,M011,EMP000219,A,440,12,Completed
PO000125,F002,PL005,P005,Hydraulic Pump,M013,EMP000075,C,330,14,Completed
PO000126,F002,PL006,P006,Transmission Housing,M018,EMP000085,A,246,20,Completed
